month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Not Classified
2015-07,2015-07-31,grid_vtqvtw11.xlsx,9058.7488773921,3511.4549665028,1174.5676108923,8717.2163936256,19366.2877460984,14264.2044334025,494.1655252629,1111.19370241,,980.6855623377,359.0307338642,1178.5148474707,646.0913673443
2015-08,2015-08-31,grid_vtqvtw11.xlsx,8887.3233965241,3509.5249716736,1193.4206736645,8871.7763969639,18126.2329173333,14234.8830636896,493.1880043071,1131.7438539944,,1409.7014534541,372.7102823394,1164.1415661716,607.5556586667
2015-09,2015-09-30,grid_vtqvtw11.xlsx,8191.0133325573,3781.1001990538,1236.8333462898,8234.3600124856,15299.9049428634,14319.2340845897,505.4647809293,1188.1178968818,,922.2648969144,363.5689398415,1094.8456729428,603.9115275191
2015-10,2015-10-30,grid_vtqvtw11.xlsx,8130.8556847328,3723.9411115586,1263.1481604969,9055.2110479296,15234.394984918,13622.517972111,501.6680417943,1247.786270152,,1984.0613017326,345.2505239293,1093.329328633,604.964154929
2015-11,2015-11-30,grid_vtqvtw11.xlsx,8169.2485399133,3753.2710936132,1262.0837969494,9171.321813195,14499.3757446995,13461.9921084516,523.9164231128,1295.213691616,,2283.3070470645,358.5119324995,1067.6208479316,606.7589642842
2015-12,2015-12-31,grid_vtqvtw11.xlsx,7931.4097729592,3703.0030560887,1292.5355465378,8290.0178301828,13689.700352,13234.84099825,569.531837934,1308.6548876809,,2889.2048254966,396.5867758281,1072.8324830486,612.385024
2016-01,2016-01-29,grid_vtqvtw11.xlsx,7605.2224976921,3604.6957779234,1269.41599951,8718.9806660489,10267.6395358685,13122.83584687,571.9692782267,1318.0605098524,,1559.1636864597,391.8260576795,1144.4583367589,568.0978688
2016-02,2016-02-29,grid_vtqvtw11.xlsx,7277.6524141503,3740.2014527829,1314.7406247819,8249.3632969789,9491.0419729534,12939.0541641612,615.5801102523,1298.3239183884,,793.3364900584,381.0400051041,1149.7864311212,556.1534511342
2016-03,2016-03-31,grid_vtqvtw11.xlsx,7329.8031638422,3855.0382345307,1334.4215612292,8168.3620627214,6269.2521591233,12837.2885027491,646.0396272847,1208.5700476116,,1706.9820030533,396.2189422135,1167.2419113125,493.9915870685
2016-04,2016-04-29,grid_vtqvtw11.xlsx,7289.7894669903,3886.4631177521,1366.2931589482,8352.2568585069,6718.6066193534,12708.8738445236,689.8226771352,1156.2730967097,,1698.4829109243,417.5572177815,1238.2587978392,477.053753337
2016-05,2016-05-31,grid_vtqvtw11.xlsx,7621.2464267266,4033.9505156309,1391.2302233044,8721.7762487145,8149.2303367014,12419.4938679665,726.1940373937,1176.3820662136,,3559.8752108191,414.6191655209,1271.8589514545,442.9838115068
2016-06,2016-06-30,grid_vtqvtw11.xlsx,7725.2043395212,4102.8098499709,1394.9308065127,8580.3139359306,9287.0021568877,12396.2043646597,709.6652612444,1172.508663623,,3997.2299518046,418.7292862327,1276.3135460738,455.100927474
2016-07,2016-07-29,grid_vtqvtw11.xlsx,7804.089718712,3906.2807318923,1397.5213714808,8082.1929960304,11264.5449012603,12495.5822885256,725.0396504615,1122.5793569239,,3374.7867072261,405.5884184332,1289.3132730686,501.2406290411
2016-08,2016-08-31,grid_vtqvtw11.xlsx,8319.4965152189,3922.1108663837,1406.4054673756,7939.8779965136,13743.1301077918,12924.8901751549,722.0453071102,1087.6776044775,,3638.5681868464,400.7266974636,1339.1184895892,565.683142137
2016-09,2016-09-30,grid_vtqvtw11.xlsx,8466.2432649311,3907.9306900546,1437.2745984504,8311.0998598871,12995.8300068822,13004.4826825188,761.8876305721,1098.5226581169,,4597.905812389,388.6934704704,1443.768562532,580.9849554411
2016-10,2016-10-31,grid_vtqvtw11.xlsx,8744.3312115641,3778.7244657294,1460.3482449802,7776.9995100317,13090.9735136438,13538.221446471,754.9511614294,1097.1428038983,,4502.0987865149,364.5108630334,1482.1043940517,604.7547520877
